"region","2020-03-01 12:00","2020-03-02 12:00","2020-03-04 18:00","2020-03-05 14:00","2020-03-06 15:00","2020-03-06 17:30","2020-03-07 14:00","2020-03-07 18:00","2020-03-08 11:00","2020-03-09 11:15","2020-03-10 11:15","2020-03-11 11:15","2020-03-11 16:00","2020-03-12 16:00","2020-03-13 15:00","2020-03-14 12:30","2020-03-14 20:00","2020-03-15 15:00","2020-03-16 15:00","2020-03-17 11:00","2020-03-18 15:05","2020-03-19 13:20","2020-03-20 15:25","2020-03-21 16:14","2020-03-22 14:15","2020-03-23 15:03","2020-03-24 14:49","2020-03-25 13:46","2020-03-26 13:49","2020-03-27 14:19"
"albany",,,,,,,,,,,,,,"1","2","3","5","8","12","23","36","43","61","88","123","127","146","152","171","187"
"allegany",,,,,,,,,,,,,,,,,,,"2","2","2","2","2","2","2","2","2","2","2","2"
"bronx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"broome",,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","2","2","2","3","7","7","11","16","18"
"cattaraugus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cayuga",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2"
"chautauqua",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1"
"chemung",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","7","11"
"chenango",,,,,,,,,,,,,,,,,,,,,"1","2","2","2","3","3","3","3","3","4"
"clinton",,,,,,,,,,,,,,,,,,,,"1","1","2","2","4","4","6","6","10","11","11"
"columbia",,,,,,,,,,,,,,,,,,,,,,,"1","2","5","10","10","12","13","20"
"cortland",,,,,,,,,,,,,,,,,,,,,,,,,"1","2","2","2","2","4"
"delaware",,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","1","1","3","3","3","5","7","8"
"dutchess",,,,,,,,,,,,,,"1","3","3","4","7","10","16","20","31","36","49","82","100","124","153","190","225"
"erie",,,,,,,,,,,,,,,,,"3","3","6","7","7","28","31","38","54","87","107","122","134","219"
"essex",,,,,,,,,,,,,,,,,,,,,"1","1","1","2","3","3","3","4","4","4"
"franklin",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","2"
"fulton",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1"
